date,transaction_type,description,category,amount_inr,balance_inr
2024-07-06 13:34:00,Debit,Internet Bill,Utilities,2759.35,-87100.34000000005
2024-07-13 12:28:00,Debit,Ride Share,Transport,989.83,-88090.17000000004
2024-07-05 00:24:00,Debit,Donation,Miscellaneous,2064.17,-90154.34000000004
2024-06-29 07:34:00,Debit,Miscellaneous Purchase,Miscellaneous,851.42,-91005.76000000008
2024-06-02 18:48:00,Credit,Credit from Refund,Miscellaneous,3096.13,-87909.63000000006
2024-07-14 11:12:00,Debit,Clothing Store,Shopping,4620.25,-92529.88000000006
2024-07-17 22:03:00,Debit,Restaurant,Dining,2923.81,-95453.69000000006
2024-06-02 20:55:00,Debit,Miscellaneous Purchase,Miscellaneous,3708.58,-99162.27000000003
2024-07-04 11:10:00,Credit,Credit from Parent,Miscellaneous,2309.11,-96853.16000000006
2024-06-04 15:38:00,Debit,Cafe,Dining,1012.97,-97866.13000000006
2024-06-28 10:24:00,Debit,Online Grocery,Groceries,1626.08,-99492.21000000004
2024-06-24 00:39:00,Debit,Bus,Transport,368.33,-99860.54000000004
2024-06-10 17:06:00,Debit,Clothing Store,Shopping,122.7,-99983.24000000003
2024-07-13 22:58:00,Debit,Clothing Store,Shopping,4331.24,-104314.48000000004
2024-06-09 19:06:00,Debit,Fast Food,Dining,3713.76,-108028.24000000003
2024-06-27 20:20:00,Credit,Credit from Parent,Utilities,2316.95,-105711.29000000004
2024-06-03 11:21:00,Debit,Online Shopping,Shopping,266.01,-105977.30000000005
2024-06-19 15:34:00,Debit,Bus,Transport,1460.18,-107437.48000000004
2024-07-15 19:05:00,Debit,Restaurant,Dining,2624.35,-110061.83000000005
2024-07-07 06:51:00,Debit,Supermarket,Groceries,2830.8,-112892.63000000003
2024-06-16 17:42:00,Debit,Ride Share,Transport,2560.76,-115453.39000000004
2024-06-06 19:52:00,Debit,Metro,Transport,3774.81,-119228.20000000004
2024-06-22 04:55:00,Credit,Credit from Parent,Utilities,1105.18,-118123.02000000003
2024-07-25 14:03:00,Debit,Metro,Transport,4199.17,-122322.19000000006
2024-07-07 06:56:00,Debit,Local Market,Groceries,3598.89,-125921.08000000007
2024-06-25 11:02:00,Debit,Gift,Miscellaneous,2063.74,-127984.82000000008
2024-07-24 17:33:00,Credit,Credit from Refund,Shopping,1738.38,-126246.44000000006
2024-07-26 06:15:00,Debit,Cafe,Dining,4497.41,-130743.85000000006
2024-07-29 18:51:00,Debit,Online Grocery,Groceries,4896.76,-135640.61000000007
2024-07-14 23:35:00,Debit,Ride Share,Transport,232.77,-135873.38000000006
2024-06-08 14:45:00,Credit,Credit from Refund,Utilities,196.58,-135676.80000000008
2024-06-18 00:58:00,Debit,Bus,Transport,4448.56,-140125.36000000007
2024-07-20 00:32:00,Debit,Fast Food,Dining,1291.54,-141416.90000000008
2024-06-06 15:10:00,Debit,Miscellaneous Purchase,Miscellaneous,4816.98,-146233.8800000001
2024-07-26 01:49:00,Debit,Gift,Miscellaneous,2091.32,-148325.2000000001
2024-06-19 22:26:00,Debit,Fast Food,Dining,3202.88,-151528.0800000001
2024-07-07 19:12:00,Debit,Bus,Transport,701.61,-152229.6900000001
2024-07-28 14:28:00,Debit,Ride Share,Transport,3549.34,-155779.0300000001
2024-06-05 19:10:00,Debit,Ride Share,Transport,1745.74,-157524.77000000008
2024-06-01 03:26:00,Debit,Mobile Recharge,Utilities,267.72,-157792.49000000008
2024-06-17 06:19:00,Debit,Metro,Transport,3891.79,-161684.2800000001
2024-07-06 03:56:00,Debit,Ride Share,Transport,1175.6,-162859.8800000001
2024-07-05 17:35:00,Debit,Clothing Store,Shopping,4355.49,-167215.37000000008
2024-07-08 16:28:00,Debit,Miscellaneous Purchase,Miscellaneous,4019.29,-171234.6600000001
2024-06-13 14:21:00,Debit,Electricity Bill,Utilities,1416.52,-172651.18000000008
2024-07-26 19:16:00,Credit,Credit from Refund,Transport,1363.65,-171287.5300000001
2024-07-20 22:30:00,Credit,Credit from Refund,Miscellaneous,2675.88,-168611.65000000008
2024-07-09 22:04:00,Debit,Bus,Transport,4130.66,-172742.31000000008
2024-07-17 16:14:00,Debit,Restaurant,Dining,1442.87,-174185.18000000008
2024-06-24 11:47:00,Debit,Local Market,Groceries,4165.73,-178350.9100000001
2024-07-09 18:20:00,Debit,Cafe,Dining,770.74,-179121.65000000008
2024-07-14 11:43:00,Debit,Miscellaneous Purchase,Miscellaneous,3027.32,-182148.9700000001
2024-07-27 18:14:00,Debit,Supermarket,Groceries,959.32,-183108.2900000001
2024-07-23 09:30:00,Debit,Restaurant,Dining,1977.38,-185085.6700000001
2024-06-16 11:39:00,Credit,Credit from Refund,Dining,3716.36,-181369.3100000001
2024-07-01 06:25:00,Debit,Restaurant,Dining,2007.55,-183376.8600000001
2024-07-15 11:24:00,Debit,Clothing Store,Shopping,3635.51,-187012.3700000001
2024-06-30 13:17:00,Debit,Donation,Miscellaneous,2043.58,-189055.9500000001
2024-07-05 02:00:00,Debit,Gift,Miscellaneous,2470.4,-191526.3500000001
2024-06-02 20:53:00,Credit,Credit from Scholarship,Shopping,3015.88,-188510.4700000001
2024-07-19 00:43:00,Debit,Electricity Bill,Utilities,857.89,-189368.3600000001
2024-06-19 00:19:00,Debit,Restaurant,Dining,1787.48,-191155.8400000001
2024-07-04 23:25:00,Debit,Supermarket,Groceries,3554.14,-194709.98000000013
2024-06-30 19:41:00,Credit,Credit from Refund,Groceries,472.07,-194237.9100000001
2024-06-16 03:54:00,Debit,Donation,Miscellaneous,2992.13,-197230.04000000007
2024-06-13 12:47:00,Credit,Credit from Scholarship,Shopping,4594.84,-192635.20000000013
2024-06-19 03:05:00,Credit,Credit from Refund,Groceries,2654.37,-189980.83000000013
2024-07-23 14:46:00,Debit,Fuel Station,Transport,3328.04,-193308.8700000001
2024-06-11 21:47:00,Debit,Gift,Miscellaneous,4526.48,-197835.35000000012
2024-06-16 06:16:00,Debit,Water Bill,Utilities,352.82,-198188.17000000016
2024-07-01 17:42:00,Debit,Fast Food,Dining,4996.83,-203185.00000000012
2024-06-17 12:16:00,Credit,Credit from Refund,Miscellaneous,1632.99,-201552.01000000013
2024-06-21 21:20:00,Debit,Online Grocery,Groceries,4629.54,-206181.55000000016
2024-07-17 10:02:00,Credit,Credit from Refund,Transport,3750.82,-202430.73000000016
2024-07-13 14:53:00,Credit,Credit from Refund,Dining,4161.69,-198269.04000000012
2024-06-05 16:56:00,Credit,Credit from Parent,Utilities,690.78,-197578.26000000013
2024-07-09 04:56:00,Debit,Internet Bill,Utilities,2261.06,-199839.32000000012
2024-06-07 13:54:00,Debit,Supermarket,Groceries,3342.11,-203181.4300000001
2024-07-11 07:33:00,Debit,Supermarket,Groceries,3117.73,-206299.16000000012
2024-06-16 05:59:00,Credit,Credit from Parent,Utilities,4952.67,-201346.4900000001
2024-06-04 20:10:00,Debit,Metro,Transport,4701.43,-206047.92000000013
2024-06-03 14:28:00,Debit,Gift,Miscellaneous,3859.22,-209907.14000000013
2024-06-10 09:45:00,Debit,Ride Share,Transport,3174.78,-213081.92000000016
2024-07-16 23:19:00,Debit,Local Market,Groceries,549.33,-213631.25000000015
2024-06-25 03:26:00,Credit,Credit from Parent,Shopping,3688.13,-209943.12000000017
2024-07-22 01:30:00,Debit,Donation,Miscellaneous,4278.83,-214221.9500000002
2024-07-13 10:07:00,Debit,Fuel Station,Transport,1458.6,-215680.55000000016
2024-07-18 19:20:00,Debit,Online Grocery,Groceries,1983.2,-217663.75000000015
2024-07-08 18:24:00,Debit,Electronics Store,Shopping,4754.81,-222418.56000000017
2024-07-06 10:05:00,Debit,Internet Bill,Utilities,2146.15,-224564.7100000002
2024-07-03 08:16:00,Debit,Miscellaneous Purchase,Miscellaneous,4528.25,-229092.9600000002
2024-06-28 07:53:00,Debit,Electronics Store,Shopping,2067.74,-231160.7000000002
2024-07-14 01:23:00,Credit,Credit from Refund,Miscellaneous,4170.15,-226990.55000000016
2024-07-28 18:51:00,Credit,Credit from Refund,Dining,1180.38,-225810.17000000016
2024-07-07 14:53:00,Debit,Gift,Miscellaneous,383.43,-226193.60000000012
2024-07-16 08:38:00,Debit,Supermarket,Groceries,4645.99,-230839.5900000001
2024-06-17 10:24:00,Debit,Bus,Transport,2041.59,-232881.18000000017
2024-07-17 15:32:00,Debit,Gift,Miscellaneous,854.09,-233735.2700000002
2024-07-30 10:56:00,Debit,Gift,Miscellaneous,1196.71,-234931.9800000002
2024-06-19 13:36:00,Debit,Local Market,Groceries,4314.62,-239246.6000000002
2024-06-01 14:14:00,Debit,Mobile Recharge,Utilities,734.62,-239981.2200000002
2024-06-27 19:43:00,Debit,Local Market,Groceries,4324.43,-244305.6500000002
2024-06-06 03:12:00,Debit,Supermarket,Groceries,3702.54,-248008.19000000015
2024-07-09 16:00:00,Debit,Electronics Store,Shopping,124.9,-248133.0900000002
2024-07-03 10:37:00,Debit,Cafe,Dining,497.13,-248630.2200000002
2024-07-06 07:39:00,Debit,Ride Share,Transport,473.04,-249103.26000000015
2024-06-19 06:29:00,Debit,Ride Share,Transport,2628.79,-251732.05000000016
2024-07-15 06:14:00,Debit,Internet Bill,Utilities,3344.35,-255076.4000000001
2024-07-19 22:27:00,Debit,Fuel Station,Transport,3696.16,-258772.5600000001
2024-07-07 13:42:00,Credit,Credit from Parent,Shopping,870.97,-257901.5900000001
2024-06-09 19:28:00,Debit,Electricity Bill,Utilities,3517.61,-261419.20000000013
2024-06-18 14:22:00,Debit,Water Bill,Utilities,1027.19,-262446.39000000013
2024-06-26 19:17:00,Debit,Metro,Transport,2380.8,-264827.1900000001
2024-07-18 03:03:00,Debit,Cafe,Dining,4117.74,-268944.9300000001
2024-07-07 04:03:00,Debit,Cafe,Dining,4177.46,-273122.39000000013
2024-07-16 15:33:00,Debit,Restaurant,Dining,3122.94,-276245.33000000013
2024-06-25 02:18:00,Credit,Credit from Parent,Groceries,1945.81,-274299.52000000014
2024-07-26 23:43:00,Debit,Internet Bill,Utilities,624.21,-274923.73000000016
2024-06-16 17:51:00,Debit,Restaurant,Dining,4818.66,-279742.39000000013
2024-06-18 11:44:00,Credit,Credit from Scholarship,Shopping,4666.94,-275075.4500000001
2024-06-30 05:47:00,Debit,Electronics Store,Shopping,915.25,-275990.7000000001
2024-07-30 20:42:00,Credit,Credit from Refund,Groceries,2420.51,-273570.1900000001
2024-07-06 21:03:00,Debit,Cafe,Dining,4951.73,-278521.9200000001
2024-06-11 21:48:00,Debit,Electronics Store,Shopping,737.42,-279259.3400000001
2024-07-05 14:11:00,Debit,Bus,Transport,4125.41,-283384.75000000006
2024-06-02 22:51:00,Debit,Mobile Recharge,Utilities,3448.15,-286832.9000000001
2024-07-10 01:30:00,Debit,Donation,Miscellaneous,4985.91,-291818.81000000006
2024-07-21 01:22:00,Debit,Fuel Station,Transport,901.76,-292720.57000000007
2024-06-25 03:14:00,Credit,Credit from Scholarship,Transport,1181.77,-291538.80000000005
2024-06-08 22:11:00,Debit,Online Shopping,Shopping,743.54,-292282.34
2024-06-03 00:31:00,Debit,Gift,Miscellaneous,4723.72,-297006.06
2024-07-17 17:10:00,Debit,Internet Bill,Utilities,2048.21,-299054.27
2024-07-29 04:03:00,Debit,Mobile Recharge,Utilities,2105.74,-301160.01
2024-06-07 00:40:00,Debit,Restaurant,Dining,1081.76,-302241.77
2024-07-29 22:56:00,Debit,Online Shopping,Shopping,4335.36,-306577.13
2024-07-29 05:59:00,Credit,Credit from Refund,Shopping,1098.14,-305478.99
2024-07-20 12:15:00,Credit,Credit from Parent,Utilities,2698.74,-302780.25
2024-06-08 17:11:00,Debit,Clothing Store,Shopping,4568.0,-307348.25
2024-06-27 01:04:00,Credit,Credit from Refund,Shopping,2364.28,-304983.97
2024-06-02 06:02:00,Debit,Local Market,Groceries,3459.27,-308443.24
2024-06-06 15:55:00,Debit,Gift,Miscellaneous,888.04,-309331.28
2024-07-22 03:36:00,Debit,Fuel Station,Transport,2992.29,-312323.56999999995
2024-06-28 08:24:00,Credit,Credit from Scholarship,Transport,156.94,-312166.62999999995
2024-07-03 19:34:00,Debit,Miscellaneous Purchase,Miscellaneous,3040.1,-315206.7299999999
2024-06-16 05:18:00,Debit,Fuel Station,Transport,4314.6,-319521.3299999999
2024-07-30 17:01:00,Credit,Credit from Parent,Utilities,3770.89,-315750.4399999999
2024-07-13 03:53:00,Debit,Miscellaneous Purchase,Miscellaneous,2544.55,-318294.9899999999
2024-06-22 01:06:00,Credit,Credit from Parent,Shopping,2842.28,-315452.70999999985
2024-06-12 13:26:00,Debit,Restaurant,Dining,530.55,-315983.25999999983
2024-07-03 12:43:00,Debit,Supermarket,Groceries,485.03,-316468.28999999986
2024-06-12 08:51:00,Debit,Cafe,Dining,2880.95,-319349.2399999999
2024-07-24 17:31:00,Credit,Credit from Parent,Dining,1080.74,-318268.4999999999
2024-06-02 10:09:00,Credit,Credit from Scholarship,Utilities,3561.73,-314706.7699999999
2024-06-22 22:56:00,Debit,Online Grocery,Groceries,3103.43,-317810.1999999999
2024-06-15 12:52:00,Debit,Online Shopping,Shopping,3163.99,-320974.1899999999
2024-06-21 17:35:00,Debit,Mobile Recharge,Utilities,492.56,-321466.7499999999
2024-07-13 15:54:00,Debit,Online Shopping,Shopping,4104.76,-325571.5099999999
2024-07-21 11:34:00,Debit,Mobile Recharge,Utilities,2679.37,-328250.8799999999
2024-06-30 20:56:00,Debit,Water Bill,Utilities,395.73,-328646.60999999987
2024-06-06 03:20:00,Debit,Fuel Station,Transport,4371.74,-333018.34999999986
2024-06-30 14:42:00,Debit,Gift,Miscellaneous,992.38,-334010.72999999986
2024-06-11 12:31:00,Debit,Internet Bill,Utilities,2821.28,-336832.0099999999
2024-07-06 16:47:00,Debit,Gift,Miscellaneous,4982.04,-341814.0499999999
2024-07-17 07:30:00,Debit,Internet Bill,Utilities,1077.76,-342891.8099999999
2024-06-04 02:59:00,Debit,Metro,Transport,250.2,-343142.0099999999
2024-06-05 08:55:00,Debit,Clothing Store,Shopping,4354.54,-347496.5499999999
2024-07-12 00:00:00,Debit,Ride Share,Transport,2184.92,-349681.46999999986
2024-06-09 11:03:00,Credit,Credit from Parent,Shopping,4939.48,-344741.9899999999
2024-06-21 08:19:00,Credit,Credit from Scholarship,Utilities,2981.49,-341760.4999999999
2024-06-09 22:34:00,Debit,Online Shopping,Shopping,3028.85,-344789.34999999986
2024-06-23 17:11:00,Debit,Fast Food,Dining,3002.52,-347791.8699999999
2024-06-04 20:19:00,Debit,Electronics Store,Shopping,3152.54,-350944.40999999986
2024-07-08 01:11:00,Debit,Online Grocery,Groceries,3902.4,-354846.8099999999
2024-07-13 13:07:00,Debit,Miscellaneous Purchase,Miscellaneous,3199.45,-358046.2599999999
2024-07-04 13:54:00,Credit,Credit from Parent,Dining,2123.85,-355922.4099999999
2024-06-02 18:37:00,Debit,Donation,Miscellaneous,4366.67,-360289.0799999999
2024-06-27 15:20:00,Debit,Local Market,Groceries,566.78,-360855.8599999999
2024-07-27 22:58:00,Debit,Supermarket,Groceries,2055.33,-362911.19
2024-06-02 12:40:00,Debit,Bus,Transport,2983.22,-365894.4099999999
2024-07-18 13:37:00,Debit,Clothing Store,Shopping,1261.44,-367155.8499999999
2024-07-03 14:55:00,Debit,Fast Food,Dining,2265.92,-369421.7699999999
2024-06-15 19:57:00,Credit,Credit from Parent,Transport,3380.01,-366041.7599999999
2024-07-24 19:45:00,Debit,Electronics Store,Shopping,4748.06,-370789.8199999999
2024-06-02 23:49:00,Debit,Gift,Miscellaneous,3067.14,-373856.9599999999
2024-07-13 10:55:00,Debit,Clothing Store,Shopping,3930.77,-377787.7299999999
2024-07-05 19:08:00,Debit,Electronics Store,Shopping,4354.53,-382142.26
2024-06-27 17:07:00,Credit,Credit from Refund,Transport,1421.77,-380720.48999999993
2024-06-17 04:48:00,Debit,Ride Share,Transport,353.31,-381073.79999999993
2024-06-03 18:27:00,Credit,Credit from Parent,Utilities,982.05,-380091.75
2024-07-11 21:11:00,Credit,Credit from Parent,Groceries,303.71,-379788.0399999999
2024-06-16 13:19:00,Debit,Fast Food,Dining,124.21,-379912.25
2024-07-03 02:14:00,Debit,Restaurant,Dining,4352.8,-384265.04999999993
2024-07-19 19:11:00,Debit,Water Bill,Utilities,1779.0,-386044.04999999993
2024-07-01 14:24:00,Debit,Gift,Miscellaneous,803.36,-386847.4099999999
2024-07-19 16:11:00,Credit,Credit from Refund,Shopping,895.67,-385951.73999999993
2024-06-29 08:18:00,Debit,Ride Share,Transport,1249.35,-387201.0899999999
2024-07-02 14:45:00,Debit,Restaurant,Dining,4206.76,-391407.8499999999
2024-06-14 18:30:00,Debit,Cafe,Dining,2536.16,-393944.0099999999
2024-06-13 02:29:00,Debit,Online Grocery,Groceries,4661.65,-398605.6599999999
2024-06-05 18:53:00,Debit,Supermarket,Groceries,1156.81,-399762.4699999999
2024-07-26 11:49:00,Credit,Credit from Scholarship,Transport,3291.04,-396471.42999999993
2024-07-03 20:53:00,Debit,Cafe,Dining,1658.75,-398130.17999999993
2024-06-03 09:16:00,Debit,Supermarket,Groceries,3933.69,-402063.87
2024-07-22 14:10:00,Debit,Online Grocery,Groceries,4404.73,-406468.5999999999
2024-07-23 22:13:00,Debit,Donation,Miscellaneous,2247.04,-408715.6399999999
2024-06-05 02:15:00,Debit,Fuel Station,Transport,1654.26,-410369.8999999999
2024-06-14 16:58:00,Credit,Credit from Refund,Groceries,2768.0,-407601.8999999999
2024-06-22 08:26:00,Debit,Local Market,Groceries,2041.25,-409643.1499999999
2024-07-05 06:57:00,Debit,Clothing Store,Shopping,2298.6,-411941.7499999999
2024-07-04 14:44:00,Credit,Credit from Refund,Groceries,1213.62,-410728.1299999999
2024-07-08 12:45:00,Debit,Donation,Miscellaneous,3135.5,-413863.6299999999
2024-06-28 15:10:00,Debit,Electricity Bill,Utilities,4330.33,-418193.9599999999
2024-06-04 21:20:00,Credit,Credit from Parent,Miscellaneous,4087.45,-414106.5099999999
2024-06-29 07:24:00,Debit,Restaurant,Dining,1305.74,-415412.2499999999
2024-07-22 18:23:00,Debit,Internet Bill,Utilities,2792.13,-418204.3799999999
2024-07-02 17:54:00,Debit,Electronics Store,Shopping,2654.05,-420858.4299999999
2024-07-10 11:15:00,Credit,Credit from Refund,Utilities,4493.9,-416364.5299999999
2024-07-22 05:04:00,Credit,Credit from Parent,Groceries,1962.37,-414402.1599999999
2024-07-10 05:31:00,Debit,Miscellaneous Purchase,Miscellaneous,596.96,-414999.1199999999
2024-06-13 21:49:00,Debit,Ride Share,Transport,3383.47,-418382.5899999999
2024-07-01 04:44:00,Credit,Credit from Scholarship,Shopping,2946.57,-415436.01999999984
2024-07-28 15:09:00,Debit,Cafe,Dining,1435.86,-416871.87999999983
2024-06-26 03:32:00,Debit,Local Market,Groceries,987.63,-417859.50999999983
2024-07-01 05:25:00,Debit,Fast Food,Dining,2673.3,-420532.8099999998
2024-07-03 18:42:00,Debit,Local Market,Groceries,1007.62,-421540.4299999998
2024-06-23 15:55:00,Debit,Online Shopping,Shopping,4049.36,-425589.7899999998
2024-07-14 21:28:00,Credit,Credit from Scholarship,Transport,650.29,-424939.4999999998
2024-06-24 11:48:00,Debit,Gift,Miscellaneous,4432.61,-429372.1099999998
2024-06-13 23:51:00,Debit,Online Grocery,Groceries,3093.81,-432465.9199999998
2024-06-03 09:00:00,Debit,Metro,Transport,4510.11,-436976.0299999998
2024-06-01 05:01:00,Debit,Fast Food,Dining,3924.58,-440900.6099999998
2024-07-02 09:56:00,Debit,Internet Bill,Utilities,2176.32,-443076.9299999998
2024-07-16 23:55:00,Debit,Fast Food,Dining,3156.91,-446233.8399999998
2024-07-08 16:00:00,Debit,Restaurant,Dining,923.27,-447157.1099999998
2024-07-16 15:26:00,Credit,Credit from Parent,Dining,1162.03,-445995.0799999998
2024-06-08 06:52:00,Debit,Internet Bill,Utilities,1110.31,-447105.3899999998
2024-06-05 05:42:00,Credit,Credit from Parent,Groceries,3196.88,-443908.5099999998
2024-07-05 22:56:00,Debit,Fast Food,Dining,3025.53,-446934.0399999998
2024-07-30 05:54:00,Debit,Cafe,Dining,2284.38,-449218.4199999998
2024-06-19 12:01:00,Debit,Mobile Recharge,Utilities,1771.34,-450989.75999999983
2024-06-25 00:24:00,Debit,Online Shopping,Shopping,1752.41,-452742.1699999998
2024-06-23 17:45:00,Debit,Metro,Transport,1397.99,-454140.1599999998
2024-06-17 00:53:00,Debit,Electronics Store,Shopping,2065.82,-456205.9799999998
2024-07-16 21:45:00,Debit,Gift,Miscellaneous,3124.06,-459330.0399999998
2024-07-07 00:45:00,Credit,Credit from Parent,Shopping,3381.05,-455948.9899999998
2024-06-26 10:31:00,Debit,Donation,Miscellaneous,3432.65,-459381.63999999984
2024-07-21 16:31:00,Credit,Credit from Scholarship,Dining,1032.59,-458349.0499999998
2024-06-03 18:54:00,Debit,Gift,Miscellaneous,4977.85,-463326.8999999998
